model,trajectory,cycle,capacity_Ah,resistance_Ohm,expansion_um,expansion_SEI_um,expansion_plating_um,expansion_LAMn_um,eps_n,eps_p,nLi_mol,Cp_Ah,Cn_Ah,delta_SEI_m,delta_pl_m
P4,nominal,0.0,4.451199569939266,0.011962272227360841,48.45140241797589,14.45733209793686,21.06476675996119,12.929303560077841,0.5344862093878077,0.42436463689811166,0.17302060031817434,5.526936486132813,5.233813840427872,2.6546211229938597e-08,4.375195978831746e-08
P4,nominal,1.0,4.445180824993193,0.012011902000895844,49.515630587168374,14.572288850292567,21.85016898171619,13.093172755159614,0.5340902466112418,0.4242319017288083,0.1727931341511273,5.5252077397047925,5.229936480406445,2.6757292099470384e-08,4.456014381632957e-08
P4,nominal,2.0,4.439134800787625,0.012061888650196978,50.60123549420434,14.687074250490975,22.65708683786362,13.25707440584974,0.5336942054110724,0.4240992004726394,0.17256466052034602,5.523479434962351,5.2260583524427675,2.696805833622404e-08,4.537547856007103e-08
P4,nominal,3.0,4.433058468451745,0.012112232016410047,51.708642120772396,14.80168476381656,23.48594914460818,13.421008212347662,0.5332980865117177,0.4239665334392154,0.17233506560187015,5.521751575937863,5.222179463630515,2.7178503449838527e-08,4.619800716825578e-08
P4,nominal,4.0,4.426959033411323,0.012162945731746363,52.83838007096974,14.91612180891661,24.33728425800979,13.58497400404334,0.5329018903254288,0.4238339008375897,0.17210461982651298,5.5200241653540445,5.218299818006545,2.7388630045200437e-08,4.702786265510702e-08
P4,nominal,5.0,4.420835885897351,0.01221403545807462,53.990973730920146,15.030386128110047,25.211615888345662,13.748971714464439,0.532505617012825,0.4237013027898488,0.17187330015848962,5.518297204800955,5.21441941714368,2.7598439485338217e-08,4.78651610760001e-08
P4,nominal,6.0,4.414692424991268,0.012265467219930742,55.16596136562001,15.144428687249878,26.108531998321514,13.913000680048608,0.5321092681772948,0.4235687398977168,0.17164123403990877,5.516570702115465,5.210538276742674,2.7807841734910996e-08,4.870913425347158e-08
P4,nominal,7.0,4.408526199519028,0.012317268574852847,56.36440232407074,15.258272944041416,27.029072257590325,14.077057122439,0.5317128529486119,0.4234362152815779,0.1714083293603118,5.5148446979375425,5.206656486204405,2.8016879866402407e-08,4.956039436126057e-08
P4,nominal,8.0,4.402335030494319,0.01236946406639575,57.58731287239963,15.371945613671983,27.974221912227307,14.24114534650034,0.5313163609247836,0.4233037255279548,0.17117450420321118,5.513119147809967,5.20277394367013,2.8225602933607503e-08,5.041946019527416e-08
P4,nominal,9.0,4.39611628336843,0.012422057176956401,58.835256343803195,15.485446780033811,28.944543602738094,14.405265961031294,0.5309197906347487,0.42317127020954415,0.17093965964214394,5.511394046167527,5.198890634734873,2.8434011090567216e-08,5.128643797714137e-08
P4,nominal,10.0,4.389867650549913,0.012475053474000361,60.10885282872163,15.598777023963956,29.940656263432363,14.569419541325312,0.5305231406884058,0.42303884892860133,0.1707037090681543,5.509669387829987,5.195006545786438,2.8642105403800805e-08,5.216147233462382e-08
P4,nominal,11.0,4.383592839442645,0.01252846362270219,61.40873106587825,15.711935621548166,30.963190726601635,14.733604717728447,0.5301264143952968,0.42290646285512234,0.1704667915376346,5.507945188035407,5.191121709232631,2.8849884544074047e-08,5.304470491637773e-08
P4,nominal,12.0,4.377291378494785,0.012582293419725516,62.73550452369873,15.824921734801697,32.01276080011242,14.897821988784615,0.5297296105507731,0.42277411164819056,0.1702288893073934,5.506221442343679,5.187236113277251,2.9057346972699177e-08,5.393625005545699e-08
P4,nominal,13.0,4.370962771203651,0.012636550057482196,64.0898371212304,15.937735375538008,33.09003029167686,15.062071454015534,0.5293327289143567,0.42264179529044227,0.1699899837137118,5.504498150528657,5.183349755565484,2.926449271136778e-08,5.48362523330867e-08
P4,nominal,14.0,4.364606541289996,0.012691240584739347,65.47240478006353,16.05037595160894,34.19567611208246,15.226352716372132,0.528935770445451,0.4225095141629765,0.16975005686674388,5.502775317553786,5.17946264549203,2.9471320672791433e-08,5.574485386791426e-08
P4,nominal,15.0,4.358222205611314,0.01274637214428452,66.88390103084804,16.162843069429634,35.330392189619644,15.390665771798753,0.528538735153856,0.42237726832880007,0.16950909062520841,5.501052944239667,5.175574783152852,2.9677830134278904e-08,5.666219743665332e-08
P4,nominal,16.0,4.351809232847086,0.012801952402604542,68.32505078021678,16.27513648361234,36.4949034755241,15.55501082108034,0.5281416225544079,0.4222450576853601,0.1692670650487379,5.4993310292506505,5.171686163797116,2.9884020645255026e-08,5.7588437257389764e-08
P4,nominal,17.0,4.345367142318045,0.012857988612541504,69.79658750779956,16.387253596965813,37.68994782723479,15.719386083598957,0.5277444369496752,0.42211288372245404,0.16902396212369178,5.497609591989898,5.1677968295565755,3.0089887436818663e-08,5.8523723794790684e-08
P4,nominal,18.0,4.3388953120348415,0.012914487730161711,71.2992531615616,16.49919325772669,38.91626864129401,15.883791262540894,0.5273471790568591,0.42198074673358354,0.16877975853347574,5.495888636279982,5.163906787454233,3.029542839412918e-08,5.946819819660674e-08
P4,nominal,19.0,4.332389433170919,0.01297145512573124,72.83385324070966,16.61095501333634,40.17467088449678,16.048227342876537,0.5269498464959418,0.42184864598424,0.16853429279609788,5.494168152554644,5.160016014184397,3.0500642686209106e-08,6.042203493686378e-08
P4,nominal,20.0,4.325847514348056,0.013028897065145345,74.40117876881958,16.72253811833332,41.46594671310069,16.212693937385566,0.526552440202577,0.4217165818495279,0.16828749034330448,5.492448145699254,5.156124518909209,3.070552894425978e-08,6.13853839320654e-08
P4,nominal,21.0,4.319274300075478,0.013086826375001692,76.00205504681138,16.833943431412415,42.790920500458526,16.37719111494044,0.5261549600103458,0.42158455442384124,0.1680395290025623,5.490728616943202,5.1522322999990555,3.0910088744996267e-08,6.235840500174066e-08
P4,nominal,22.0,4.312669065792208,0.013145253819971572,77.63741175457187,16.945172251609435,44.15052078273744,16.541718720224992,0.525757406294544,0.4214525639347952,0.16779038164117566,5.489009569250954,5.148339361128921,3.1114324473677375e-08,6.334131848234003e-08
P4,nominal,23.0,4.306031191644566,0.013204188405491948,79.30814645784972,17.056224471402064,45.54564533025067,16.70627665619697,0.5253597792896583,0.42132061050987507,0.16754002505548482,5.487291004282884,5.144445704594952,3.131823593287319e-08,6.433430501984886e-08
P4,nominal,24.0,4.299360058266167,0.013263639200149982,81.0151800717683,17.167099942634437,46.977215378135575,16.870864750998287,0.5249620794109551,0.4211886943421682,0.1672884360670752,5.4855729245537646,5.140551334463537,3.152182285054339e-08,6.533754599274419e-08
P4,nominal,25.0,4.292655004738263,0.013323615496132249,82.75946184177472,17.27779948320887,48.446179439744625,17.035482918821227,0.5245643068657746,0.4210568155543386,0.16703558994600956,5.483855331661175,5.136656252764999,3.172508672850089e-08,6.635122579072056e-08
P4,nominal,26.0,4.285911007178132,0.01338412244221459,84.54196744641212,17.38831762543941,49.95352336394227,17.200126457030443,0.5241664730172565,0.42092497796347883,0.16678129862780258,5.482138275319032,5.132760570769855,3.1928017527110054e-08,6.737553808976122e-08
P4,nominal,27.0,4.279129934639714,0.013445172296005694,86.36371483783749,17.498654811104576,51.50026263100076,17.36479739573215,0.5237685729599852,0.4207931799919207,0.1665256321527192,5.480421734979744,5.12886424044313,3.213061605755416e-08,6.841067974883675e-08
P4,nominal,28.0,4.272313048591191,0.013506777141214456,88.22576071661769,17.608809672187164,53.08745228374279,17.52949876068773,0.5233705993827095,0.42066141926617784,0.16626863777012593,5.47870567973096,5.124967190191345,3.233287980791239e-08,6.945685676770739e-08
P4,nominal,29.0,4.265459568034463,0.013568946738148355,90.1291670298966,17.71878363698378,54.71615290608423,17.694230486828605,0.5229725524426566,0.4205296958865099,0.1660102862722693,5.4769901108784635,5.121069421554107,3.253481140078915e-08,7.051426137427777e-08
P4,nominal,30.0,4.258568689818077,0.013631692585883854,92.07508150564104,17.82857838990851,56.38751087147558,17.85899224425695,0.5225744329369701,0.42039801016471445,0.16575054763046956,5.475275032483115,5.1171709423372285,3.273641392906577e-08,7.158312366936023e-08
P4,nominal,31.0,4.251639603930816,0.013695026209584854,94.06468350686842,17.938194166809723,58.102705114142516,18.02378422591619,0.5221762403994342,0.42026636200118106,0.16548939155918993,5.473560443247584,5.113271747975418,3.293768782580144e-08,7.266367522712067e-08
P4,nominal,32.0,4.244671561784622,0.013758958604869633,96.09916293331784,18.04763051945842,59.86292642059261,18.188605993266812,0.521777975889707,0.42013475178665755,0.1652267900835147,5.471846348260984,5.109371848845094,3.313863226796867e-08,7.375613586762444e-08
P4,nominal,33.0,4.237663801400117,0.013823500983354081,98.17974719964111,18.156886776216837,61.669403405924584,18.353457017499693,0.5213796406855681,0.42000317998253733,0.16496271473223423,5.470132753532512,5.105471257458574,3.3339246022322095e-08,7.486072992521576e-08
P4,nominal,34.0,4.230611417028042,0.013888661535110175,100.30770884033052,18.265963026803757,63.52340897686484,18.51833683666191,0.5209812359032503,0.4198716469936078,0.1646969819635194,5.468419664334132,5.10156998474627,3.3539529253601214e-08,7.597768943404385e-08
P4,nominal,35.0,4.223509542190666,0.013954448805287996,102.48435546425819,18.37486223943165,65.42624828143163,18.683244943394918,0.5205827627687015,0.4197401532569896,0.16442940975843134,5.466707086358914,5.09766804271295,3.373948741196755e-08,7.71072461069352e-08
P4,nominal,36.0,4.216365906215199,0.014020882946178261,104.71107692095697,18.483581872067003,67.37931404468691,18.848181004203052,0.5201842220877588,0.41960869909127224,0.1641602874483954,5.464995023756177,5.093765439249559,3.393911582979931e-08,7.82496631202944e-08
P4,nominal,37.0,4.209180950123653,0.01408797685013596,106.98925405928604,18.59212017343829,69.38398896446822,19.01314492137953,0.5197856140965145,0.41947728458913575,0.16388963157537068,5.463283477732987,5.089862176667968,3.413841129145313e-08,7.940517660317912e-08
