phase,case,label,cycle,capacity_Ah,capacity_retention,resistance_Ohm,expansion_um,expansion_SEI_um,expansion_plating_um,expansion_LAMn_um,nLi_mol,Cp_Ah,Cn_Ah,delta_SEI_m,delta_pl_m,eps_n,eps_p
second_life,nominal,Nominal,0.0,4.451173304721828,1.0,0.011965064837431925,48.51272570718261,14.457394060807907,21.12576703109742,12.92956461527729,0.17301961107654837,5.526933335243084,5.233807663519556,2.6546325004696767e-08,4.381526340964325e-08,0.5344855785911435,0.4243643949691191
second_life,nominal,Nominal,1.0,4.44515234973554,0.9986473330571288,0.012014720255824046,49.57864357698551,14.572352808600305,21.91285331728394,13.093437451101266,0.17279206199529912,5.52520455059431,5.229930217353394,2.675740953820221e-08,4.4624015692124344e-08,0.534089607017327,0.4242316568651817
second_life,nominal,Nominal,2.0,4.439104126151453,0.997288539954719,0.012064732995514901,50.665977252865005,14.687140172839396,22.72149435009033,13.257342729935276,0.1725635058705151,5.523476207780539,5.226052003543076,2.6968179381280907e-08,4.54399274384287e-08,0.5336935570503486,0.4240989526858517
second_life,nominal,Nominal,3.0,4.4330254992632465,0.9959229164500671,0.012115103036347535,51.77515774849126,14.80175281825245,23.552124786039133,13.42128014419968,0.1723338249043197,5.52174831092122,5.222173029366338,2.7178628409783974e-08,4.6263046742224125e-08,0.5332974294334236,0.4239662827474252
second_life,nominal,Nominal,4.0,4.4269236617077885,0.9945520784400115,0.012165844636192134,52.906730247117316,14.916192734595988,24.40528801402723,13.5852494984941,0.17210328904828384,5.520020863013344,5.218293299446611,2.7388760277255262e-08,4.7093519947642575e-08,0.5329012246387047,0.42383364728001477
second_life,nominal,Nominal,5.0,4.4207981582516584,0.9931759236518723,0.012216961854857402,54.06118098254212,15.030459068180175,25.281471142201262,13.749250772160684,0.17187188106756704,5.518293865122049,5.214412814272685,2.7598573416169688e-08,4.7931426564443034e-08,0.5325049427161082,0.4237010463654028
second_life,nominal,Nominal,6.0,4.4146524607317,0.9917952320680513,0.012268420013370047,55.23802910777259,15.144502180101968,26.18024411584177,13.913282811828854,0.17163973113782985,5.51656733024107,5.2105316011348215,2.7807976680747633e-08,4.87759828965683e-08,0.532108586452563,0.4235684810012636
second_life,nominal,Nominal,7.0,4.408483876452608,0.9904093987479806,0.012320249124555857,56.43839598880649,15.258348644834754,27.102704579440914,14.077342764530826,0.1714067380752106,5.514841289292734,5.206649727537978,2.8017018866408536e-08,4.9627854408411056e-08,0.5317121627417934,0.42343595356184943
second_life,nominal,Nominal,8.0,4.402290293825594,0.9890179493024055,0.012372472427539378,57.66326950225769,15.372022327753193,28.049812674628928,14.241434499875563,0.171172822497239,5.513115702388219,5.2027671019221335,2.8225743794188856e-08,5.0487534908379936e-08,0.5313156622335302,0.42330346098445
second_life,nominal,Nominal,9.0,4.396068535871426,0.987620169991596,0.012425094150333677,58.91324284425448,15.485525268063977,29.022158778618387,14.405558797572118,0.1709378651267988,5.511390562188172,5.198883705838349,2.843415520843168e-08,5.1355154572201264e-08,0.5309190830437355,0.42317100270554125
second_life,nominal,Nominal,10.0,4.389817543705363,0.9862158229266477,0.012478120101751103,60.188916531705075,15.59885708128762,30.02034369247431,14.569715757943147,0.17070182620723412,5.50966586849268,5.194999536912859,2.864225240316487e-08,5.2230840412990456e-08,0.5305224249299961,0.4230385787097735
second_life,nominal,Nominal,11.0,4.383540235346528,0.9848055636693466,0.012531559770204695,61.490908274721775,15.712016787563268,31.04498704756644,14.733904439592067,0.17046481517443263,5.507941632023721,5.191114617420341,2.88500335791911e-08,5.311472353950615e-08,0.5301256901670411,0.4229061898203929
second_life,nominal,Nominal,12.0,4.377236193079003,0.9833892983756908,0.012585420055440437,62.81985909002143,15.82500443884514,32.09672933930147,14.89812531187482,0.170226816305833,5.506217848670218,5.187228936255218,2.9057498831907493e-08,5.400694033766201e-08,0.5297288776207496,0.4227738357217461
