case,label,alpha_SEI_film_ASR,alpha_plating_film_ASR,nLi_mol,Cp_Ah,Cn_Ah,delta_SEI_m,delta_pl_m,target_film_ASR_Ohm_m2,constructed_film_ASR_Ohm_m2,color,marker,initial_capacity_Ah,initial_resistance_Ohm,safe_last_cycle,safe_final_capacity_Ah,safe_final_retention,simulation_seconds,maximum_scaled_initial_error
low_SEI_high_plating,Low SEI / high plating,0.1,0.9,0.1730196110765484,5.526933335243084,5.233807663519557,7.036158841434001e-09,6.332542957290602e-08,0.0063325429572906,0.0063325429572906,#666666,o,4.451173304721826,0.0119650648374319,104,3.009331457098448,0.6760760031307104,119.5993475,6.416746735917494e-16
moderate_SEI_moderate_plating,26% SEI / 74% plating,0.26096040223273065,0.7390395977672694,0.1730196110765484,5.526933335243084,5.233807663519557,1.836158841434001e-08,5.2e-08,0.0063325429572906,0.006332542957290601,#E69F00,s,4.451173304721823,0.0119650648374319,116,3.000417451649301,0.6740733838573407,101.0,8.02e-16
high_SEI_low_plating,High SEI / low plating,0.9,0.0999999999999999,0.1730196110765484,5.526933335243084,5.233807663519557,6.332542957290602e-08,7.036158841433999e-09,0.0063325429572906,0.0063325429572906,#0072B2,^,4.451173304721828,0.0119650648374319,176,3.0172555435742163,0.6778562273397658,138.11309750000004,6.416746735917494e-16
