phase,case,label,cycle,capacity_Ah,capacity_retention,resistance_Ohm,expansion_um,expansion_SEI_um,expansion_plating_um,expansion_LAMn_um,nLi_mol,Cp_Ah,Cn_Ah,delta_SEI_m,delta_pl_m,eps_n,eps_p
second_life,low_SEI_high_plating,Low SEI / high plating,0.0,4.451173304721826,1.0,0.0119650648374319,60.88990068936549,3.8319624666333714,44.128373607454826,12.92956461527729,0.1730196110765483,5.526933335243084,5.233807663519556,7.036158841434001e-09,6.332542957290602e-08,0.5344855785911435,0.4243643949691191
second_life,low_SEI_high_plating,Low SEI / high plating,1.0,4.444370406581573,0.99847166181262,0.0120230175055431,62.58913265854186,3.948440356137335,45.547279061037216,13.093413241367315,0.1727626973359737,5.52520447559452,5.229930790187444,7.2500327870170124e-09,6.433545885125758e-08,0.5340896655161405,0.4242316511066102
second_life,low_SEI_high_plating,Low SEI / high plating,2.0,4.437526449413812,0.9969340993096052,0.012081474500588,64.32567287468135,4.06471560165262,47.00367272341235,13.25728454961638,0.1725042678804272,5.523476152769465,5.226053380165708,7.463534642501275e-09,6.535594230120422e-08,0.5336936976334558,0.4240989484620371
second_life,low_SEI_high_plating,Low SEI / high plating,3.0,4.430641268663645,0.995387275522074,0.0121404520803481,66.10070132715052,4.180797596383963,48.49872575282428,13.421177977942278,0.1722443163841061,5.521748373220193,5.222175446753949,7.676681655467146e-09,6.638719939524343e-08,0.533297676301268,0.4239662875308131
second_life,low_SEI_high_plating,Low SEI / high plating,4.0,4.423719392455218,0.9938322077377924,0.0121999649168229,67.91524594086512,4.296689861451021,50.033462758996976,13.585093320417128,0.171983012673037,5.52002113961259,5.218296994824693,7.889480291311253e-09,6.742942624780761e-08,0.5329016020171679,0.4238336685176277
second_life,low_SEI_high_plating,Low SEI / high plating,5.0,4.416760090777205,0.9922687319525134,0.0122600229527492,69.77037735719932,4.412387859681824,51.60895948364352,13.749030013873975,0.1717203291566168,5.518294458347567,5.214418037703208,8.101922218985741e-09,6.848283575055464e-08,0.532505476141955,0.4237010919139508
second_life,low_SEI_high_plating,Low SEI / high plating,6.0,4.409762685059774,0.9906966957188292,0.0123206361104152,71.66719096597839,4.52788892210156,53.226317989920055,13.912984053956778,0.1714562402390014,5.516568372019424,5.210538670137807,8.314002537782192e-09,6.954763976673332e-08,0.5321093083514927,0.423568560990222
second_life,low_SEI_high_plating,Low SEI / high plating,7.0,4.402725149912034,0.9891156440126926,0.0123818145066428,73.60683892124541,4.6431958428398765,54.88668394811449,14.076959130291046,0.1711906697541851,5.514842842183093,5.206658804827113,8.525726378215377e-09,7.062405999021647e-08,0.531713089730412,0.4234360727945844
second_life,low_SEI_high_plating,Low SEI / high plating,8.0,4.395643794286626,0.9875247476038972,0.0124435665023362,75.59049709392492,4.758310247259217,56.59123046392237,14.24095638274333,0.1709234791344772,5.513117857247156,5.202778414800391,8.737096724737367e-09,7.171231661343879e-08,0.531316817524414,0.4233036264370353
second_life,low_SEI_high_plating,Low SEI / high plating,9.0,4.3885209874039495,0.9859245387611812,0.0125059058165149,77.61936709086858,4.8732345304581495,58.34115776518883,14.404974795221602,0.1706547572096888,5.511393428276264,5.198897524099708,8.948117975171499e-09,7.281262788830623e-08,0.5309204941887168,0.4231712227671315
second_life,low_SEI_high_plating,Low SEI / high plating,10.0,4.381356822772119,0.9843150384920656,0.0125688451962085,79.69472666249968,4.987966946709907,60.13774549212173,14.569014223668036,0.1703845074145098,5.50966955713907,5.195016136133662,9.158786924055576e-09,7.39252420556643e-08,0.5305241200714124,0.4230388619283504
second_life,low_SEI_high_plating,Low SEI / high plating,11.0,4.37415041843414,0.9826960486562094,0.0126323966667109,81.81789093117042,5.102505988135586,61.98231024665615,14.733074696378695,0.1701126966081379,5.507946243861841,5.191134250232731,9.369100802658024e-09,7.505040904326455e-08,0.5301276951041279,0.4229065439227087
second_life,low_SEI_high_plating,Low SEI / high plating,12.0,4.366900883778922,0.981067369169044,0.0126965724369873,83.99021760264513,5.216849433395077,63.87621256402589,14.897155605224176,0.1698392913511464,5.506223495125224,5.187251880786056,9.579055532206676e-09,7.61883840925538e-08,0.5297312207563075,0.4227742692631545
second_life,low_SEI_high_plating,Low SEI / high plating,13.0,4.359607314659385,0.9794287969050076,0.0127613850290792,86.21310380037355,5.330997794499228,65.82084874380467,15.061257262069644,0.1695642577055562,5.50450130791941,5.183369020414494,9.788652052843738e-09,7.733942215430903e-08,0.5293346962743806,0.422642037718591
second_life,low_SEI_high_plating,Low SEI / high plating,14.0,4.352268663019895,0.977780096408061,0.012826848676502,88.4880541002262,5.444952195017493,67.81772380029467,15.225378104914023,0.1692875563747082,5.502779698858675,5.179485706077042,9.997892427640869e-09,7.850381971224445e-08,0.528938125432664,0.4225098505646817
second_life,low_SEI_high_plating,Low SEI / high plating,15.0,4.3448839447569885,0.9761210465896518,0.0128929778003649,90.81662198459568,5.558711785631953,69.86839351962416,15.389516679339556,0.1690091504752864,5.501058683376502,5.17560197218713,1.020677509710059e-08,7.968187825018835e-08,0.5285415117455177,0.4223777089864274
second_life,low_SEI_high_plating,Low SEI / high plating,16.0,4.337453288307097,0.9744516763042916,0.0129597880610604,93.20040689290516,5.672276394048407,71.97445645968945,15.5536740391673,0.1687290447995399,5.4993382505994015,5.171717793809971,1.0415299744860373e-08,8.087389889377957e-08,0.5281448526665573,0.4222456121489491
second_life,low_SEI_high_plating,Low SEI / high plating,17.0,4.329967256453893,0.9727698653882207,0.0130272863913218,95.6410440253954,5.7856426709534645,74.1375515280129,15.71784982642902,0.1684468857716334,5.4976184043622345,5.167833179415561,1.0623460220990184e-08,8.20801805886605e-08,0.527748149060754,0.4221135603466918
second_life,low_SEI_high_plating,Low SEI / high plating,18.0,4.322428153364255,0.9710761314952626,0.0130954899782457,98.1402073879006,5.898807990126878,76.35935565909384,15.882043738679874,0.1681627598170755,5.495899148747935,5.163948136160143,1.0831251703286533e-08,8.330101848316687e-08,0.5273514016589155,0.4219815538931477
second_life,low_SEI_high_plating,Low SEI / high plating,19.0,4.314838724778887,0.9693710914831568,0.0131644174592651,100.6996523708339,6.011772988479242,78.64162401032127,16.046255372033396,0.1678767698497795,5.494180489430393,5.1600626736002,1.103867536122958e-08,8.453672530079567e-08,0.5269546114369666,0.4218495932239651
second_life,low_SEI_high_plating,Low SEI / high plating,20.0,4.307197726881912,0.9676544659163948,0.0132340845069353,103.32120185269972,6.124538162293541,80.98617925210965,16.21048443829651,0.1675888693084984,5.492462429563072,5.156176798554759,1.1245732106082409e-08,8.578762388059895e-08,0.5265577790912783,0.4217176785812703
second_life,low_SEI_high_plating,Low SEI / high plating,21.0,4.299503420059118,0.9659258639734796,0.0133045067647472,106.00674971891432,6.237101850972436,83.39491790087432,16.37472996706757,0.1672989930854982,5.490744979355799,5.152290533984792,1.1452418888695462e-08,8.705404920708514e-08,0.5261609069666654,0.4215858107489859
second_life,low_SEI_high_plating,Low SEI / high plating,22.0,4.291749870897006,0.9641839526545276,0.0133756961296548,108.75824905458566,6.349459134764982,85.86980350777637,16.53898641204431,0.1670069191146038,5.489028196779792,5.148404011123087,1.1658726675538426e-08,8.833634346415484e-08,0.5257640084648489,0.4214539941782096
second_life,low_SEI_high_plating,Low SEI / high plating,23.0,4.283940801795706,0.9624295682334544,0.0134476748371243,111.57775690573072,6.461612010516328,88.41288609405241,16.70325880116198,0.1667127868044207,5.4873120292158175,5.144517111002101,1.1864659133171128e-08,8.963486477907874e-08,0.525367071436656,0.4213222248287753
second_life,low_SEI_high_plating,Low SEI / high plating,24.0,4.276075131586708,0.9606624678150876,0.0135204613352242,114.46741806166231,6.57355870464171,91.02631119595088,16.86754816106975,0.1664165557118255,5.485596465877278,5.140629809329969,1.2070213004979176e-08,9.09499899850301e-08,0.5249700934013587,0.4211905018724755
second_life,low_SEI_high_plating,Low SEI / high plating,25.0,4.268151486211302,0.9588823427035802,0.0135940741576212,117.4294560643554,6.685296473648343,93.71230566521108,17.031853925495962,0.1661181744527361,5.483881512581003,5.1367421195054215,1.2275383253426016e-08,9.228210564289829e-08,0.5245730757272589,0.4210588257559329
second_life,low_SEI_high_plating,Low SEI / high plating,26.0,4.260168644645887,0.9570889185839336,0.0136685307929579,120.46608205428912,6.7968290395754485,96.47307709969569,17.19617591501799,0.1658175973752062,5.482167170978132,5.132854045773832,1.2480176712832025e-08,9.36315578608614e-08,0.5241760188479015,0.4209271966059242
second_life,low_SEI_high_plating,Low SEI / high plating,27.0,4.252124938011141,0.9552818205259422,0.0137438532630524,123.57980180796646,6.908156939320546,99.31113140883708,17.360513459808846,0.1655147620782413,5.48045344792525,5.128965603984186,1.2684594369035723e-08,9.49988063941625e-08,0.5237789243818127,0.420795614948906
second_life,low_SEI_high_plating,Low SEI / high plating,28.0,4.244018953036028,0.9534607310243236,0.0138200613001994,126.77306973752636,7.019282561371803,102.22892159171724,17.524865584437304,0.1652096157400115,5.478740353297339,5.125076817216465,1.2888640607722596e-08,9.638425027804742e-08,0.5233817946859605,0.4206640815430908
second_life,low_SEI_high_plating,Low SEI / high plating,29.0,4.235849088237418,0.9516252902900924,0.0138971763903418,130.04851148743543,7.130203212324754,105.22907671341255,17.68923156169811,0.1649020985003951,5.477027894363689,5.121187702677299,1.3092310483327068e-08,9.778833773229895e-08,0.5229846315175158,0.4205325969466232
second_life,low_SEI_high_plating,Low SEI / high plating,30.0,4.227606659046854,0.9497735472492588,0.0139752141740292,133.40882321700343,7.240916458017034,108.3142959264504,17.853610832535985,0.1645918855143799,5.475316076515977,5.11729827359467,1.329559952629778e-08,9.921151335775333e-08,0.5225874362273434,0.4204011615734824
second_life,low_SEI_high_plating,Low SEI / high plating,31.0,4.219292950674812,0.9479057906370362,0.0140542006100794,136.8568717941822,7.351421400766842,111.48744777634104,18.01800261707435,0.1642790249980956,5.473604907393152,5.113408548421479,1.3498506088332644e-08,1.0065426238350722e-07,0.5221902106998857,0.420269776010196
second_life,low_SEI_high_plating,Low SEI / high plating,32.0,4.210911540775536,0.9460228242087496,0.0141341632497696,140.39559186014654,7.461717571502028,114.75146786193385,18.18240642671066,0.1639636508760682,5.471894391350693,5.109518538718703,1.3701029308132477e-08,1.0211706138039946e-07,0.5217929561157699,0.4201384405911826
second_life,low_SEI_high_plating,Low SEI / high plating,33.0,4.20245636331062,0.9441232851690212,0.0142151230706767,144.02807537489193,7.571802973039999,118.1094523705525,18.346820031299423,0.1636455363377572,5.47018455104512,5.105628297254508,1.3903165518517836e-08,1.036004189751961e-07,0.5213956778637734,0.4200071570560363
second_life,low_SEI_high_plating,Low SEI / high plating,34.0,4.193925473964215,0.942206736708112,0.014297104922745,147.7575185841857,7.6816765731245376,121.56459884968582,18.511243161375354,0.1633246087587808,5.468475388577929,5.101737830404798,1.4104912824084277e-08,1.0510484703213079e-07,0.5209983765950144,0.4198759255661126
second_life,low_SEI_high_plating,Low SEI / high plating,35.0,4.185320135191415,0.9402734624490148,0.0143801386964879,151.5873209834036,7.791339825736031,125.12030307219167,18.67567808547588,0.1630009154091222,5.466766879621709,5.097847084493002,1.4306273894596188e-08,1.06630900704054e-07,0.5206010468279477,0.4197447442535242
second_life,low_SEI_high_plating,Low SEI / high plating,36.0,4.176638221237036,0.9383229848198538,0.0144642513043723,155.52099377577548,7.900789683938698,128.78008089121582,18.840123200620955,0.1626743768758521,5.46505903997019,5.0939560974477285,1.4507243135342169e-08,1.0817914150364669e-07,0.5202036924359094,0.4196136143309323
second_life,low_SEI_high_plating,Low SEI / high plating,37.0,4.167877668385052,0.936354840186462,0.0145494707155553,159.56220227953523,8.010023798251936,132.5476021536236,19.004576327659684,0.1623449160800839,5.463351891278059,5.090064920830546,1.47078162322615e-08,1.0975014978056072e-07,0.5198063186844566,0.419482537461009
second_life,low_SEI_high_plating,Low SEI / high plating,38.0,4.159036305323371,0.9343685407421556,0.0146358264922491,163.7147676737413,8.119048431259998,136.42668015370504,19.16903908877627,0.1620124518821598,5.461645415631181,5.08617351625845,1.490800468456326e-08,1.1134451793605554e-07,0.5194089216538499,0.4193515122682861
second_life,low_SEI_high_plating,Low SEI / high plating,39.0,4.150111905742455,0.9323635863245308,0.0147233486245629,167.9826909196414,8.227859920590895,140.4213207039468,19.333510295103693,0.161676901124689,5.459939624172547,5.082281911861591,1.5107801767486632e-08,1.129628681128037e-07,0.5190115042167895,0.4192205396083354
second_life,low_SEI_high_plating,Low SEI / high plating,40.0,4.141102073485548,0.9303394386133306,0.0148120691825953,172.37020669736762,8.336456040157076,144.5357614864089,19.49798917080165,0.1613381743022997,5.458234523841827,5.07839012599737,1.5307203393542308e-08,1.1460586444164554e-07,0.5186140682479652,0.4190896200139929
second_life,low_SEI_high_plating,Low SEI / high plating,41.0,4.132004496951551,0.9282955782845616,0.014902019652346,176.8816378151336,8.444835002610743,148.77432785055166,19.66247496197117,0.1609961850755688,5.456530120811332,5.074498176504023,1.5506206280844536e-08,1.1627415237920267e-07,0.5182166155690489,0.4189587539591761
second_life,low_SEI_high_plating,Low SEI / high plating,42.0,4.122811042962227,0.9262301781394872,0.0149932298514487,181.5215971270791,8.552994380993065,153.1416362112799,19.82696653480616,0.1606506295335989,5.454826425335298,5.070606090208892,1.570480597306892e-08,1.1796843698371477e-07,0.5178191489196953,0.4188279422312168
second_life,low_SEI_high_plating,Low SEI / high plating,43.0,4.11351848451046,0.92414251319912,0.0150857346687733,186.294903906079,8.660932074565972,157.64250853769892,19.991463293814107,0.1603013871775094,5.45312344189956,5.066713881202107,1.5902998612889906e-08,1.1968944478685102e-07,0.5174216697388134,0.4186971851745429
second_life,low_SEI_high_plating,Low SEI / high plating,44.0,4.104124928833708,0.9220321582356796,0.0151795700836201,191.2065600964804,8.768643429795391,162.28195896184582,20.155957704839164,0.1599483874603829,5.451421246736627,5.062821727751676,1.6100775655598304e-08,1.2143791570761062e-07,0.5170241962314435,0.4185664886423753
second_life,low_SEI_high_plating,Low SEI / high plating,45.0,4.094633633885866,0.9198998451806536,0.015274780518519,196.26191700458483,8.876131139641151,167.06533019735295,20.32045566759072,0.159591752138128,5.449719776826616,5.05892949026274,1.6298142045943246e-08,1.2321465079601457e-07,0.5166267141419145,0.418435847795974
second_life,low_SEI_high_plating,Low SEI / high plating,46.0,4.085040904853972,0.917744743957855,0.015371405532614,201.46655653737315,8.983393484055915,171.99820606236787,20.48495699094937,0.1592313431936807,5.448019031913163,5.055037173257433,1.64950946256145e-08,1.2502047437883137e-07,0.516229223932035,0.4183052626156549
